Platform,Year_of_Release,Genre,Publisher,Above_Average_Critic_Score,Above_Average_User_Score,Log_Global_Sales
PS2,2001,Adventure,Ubisoft,False,False,-0.5978370007556204
PS2,2001,Sports,Acclaim Entertainment,True,True,0.3220834991691132
PS2,2001,Action,Sony Computer Entertainment,False,True,-0.5978370007556204
PS2,2001,Sports,Acclaim Entertainment,False,True,-1.5141277326297755
PS2,2001,Action,Eidos Interactive,True,True,-0.5978370007556204
PS2,2001,Racing,Sony Computer Entertainment,True,True,0.8796267475025636
GC,2001,Platform,Sega,True,True,0.9400072584914712
GBA,2001,Fighting,Infogrames,True,True,-0.7985076962177716
PS2,2001,Misc,Codemasters,True,True,-1.8971199848858813
PS2,2001,Simulation,Take-Two Interactive,False,False,-2.0402208285265546
PS2,2001,Misc,Sony Computer Entertainment,True,True,-1.6607312068216509
PS2,2001,Sports,Tecmo Koei,False,False,-2.995732273553991
PS2,2001,Simulation,Atari,True,True,0.131028262406404
PS,2001,Action,Electronic Arts,False,True,1.3164082336557241
PS2,2001,Shooter,Swing! Entertainment,False,False,-2.5257286443082556
GBA,2001,Action,Electronic Arts,False,True,0.5247285289349821
PS2,2001,Role-Playing,Midway Games,True,True,-1.2729656758128873
PS2,2001,Adventure,LucasArts,True,True,-2.3025850929940455
PS2,2001,Racing,Acclaim Entertainment,False,False,-1.4696759700589417
PS2,2001,Racing,Electronic Arts,True,True,-1.8971199848858813
PS2,2001,Racing,Activision,False,True,0.11332868530700327
PS2,2001,Racing,Acclaim Entertainment,False,False,-0.916290731874155
PS2,2001,Misc,THQ,True,True,-2.995732273553991
XB,2001,Fighting,Microsoft Game Studios,True,True,0.5709795465857378
PS,2001,Action,Capcom,False,False,-0.8675005677047231
XB,2001,Action,Microsoft Game Studios,False,True,-1.4271163556401458
PS2,2001,Platform,Sony Computer Entertainment,True,True,1.2919836816486494
PS,2001,Racing,Electronic Arts,False,False,-0.8675005677047231
PS,2001,Sports,Activision,True,True,0.5128236264286637
PS2,2001,Action,Midway Games,True,True,0.13976194237515863
PS,2001,Platform,Sony Computer Entertainment,True,True,-1.7719568419318752
PS2,2001,Misc,Namco Bandai Games,True,False,0.598836501088704
PC,2001,Simulation,Electronic Arts,True,True,0.598836501088704
PS2,2001,Shooter,Electronic Arts,True,True,1.2612978709452054
GBA,2001,Role-Playing,Capcom,True,True,-0.8675005677047231
GC,2001,Racing,Electronic Arts,False,True,-1.4271163556401458
PS2,2001,Shooter,Virgin Interactive,True,True,-1.7719568419318752
GC,2001,Action,Nintendo,True,True,1.2809338454620642
PS2,2001,Role-Playing,Metro 3D,False,True,-2.3025850929940455
XB,2001,Racing,Electronic Arts,False,True,-2.120263536200091
XB,2001,Shooter,Microsoft Game Studios,True,True,1.860974538249528
PS2,2001,Shooter,Codemasters,False,False,-1.8971199848858813
PS2,2001,Racing,Electronic Arts,True,True,-1.5606477482646683
PS2,2001,Racing,Electronic Arts,True,True,0.14842000511827322
XB,2001,Racing,Gathering of Developers,False,False,-1.4271163556401458
PS,2001,Fighting,Namco Bandai Games,False,True,-3.912023005428146
PS2,2001,Shooter,Sony Computer Entertainment,False,True,-1.9661128563728327
PC,2001,Strategy,Virgin Interactive,True,True,-3.912023005428146
PS,2001,Adventure,Take-Two Interactive,False,False,-2.2072749131897207
PC,2001,Role-Playing,Vivendi Games,True,True,0.058268908123975824
PS2,2001,Simulation,Activision,True,True,0.5653138090500605
GBA,2001,Misc,Namco Bandai Games,True,True,1.4445632692438664
PS2,2001,Platform,Ubisoft,False,True,-0.8915981192837836
GBA,2001,Action,NewKidCo,False,False,-4.605170185988091
PS,2001,Sports,Sony Computer Entertainment,False,True,-0.916290731874155
PC,2001,Strategy,Vivendi Games,True,True,-2.995732273553991
PS2,2001,Racing,Ubisoft,False,True,-0.5108256237659907
XB,2001,Racing,Infogrames,False,True,-1.7147984280919266
GC,2001,Sports,Midway Games,True,True,-1.5606477482646683
PS2,2001,Sports,Activision,True,True,1.4838746894587547
PS2,2001,Sports,Electronic Arts,True,True,0.5481214085096876
PS2,2001,Role-Playing,Ubisoft,False,False,-2.5257286443082556
PS,2001,Sports,Electronic Arts,True,False,-1.8971199848858813
PS2,2001,Simulation,Metro 3D,True,True,-0.8915981192837836
GBA,2001,Action,Activision,True,True,-0.4942963218147801
GC,2001,Racing,Nintendo,True,True,-0.5108256237659907
PS2,2001,Racing,Sony Computer Entertainment,True,True,-1.1394342831883648
PS,2001,Shooter,Namco Bandai Games,True,False,-2.995732273553991
PS,2001,Role-Playing,Max Five,False,True,-2.995732273553991
GBA,2001,Racing,Nintendo,True,True,0.03922071315328133
PS2,2001,Platform,Midas Interactive Entertainment,False,True,-2.995732273553991
PS2,2001,Shooter,Midas Interactive Entertainment,False,False,-1.7719568419318752
PS2,2001,Platform,DreamCatcher Interactive,False,True,-2.995732273553991
XB,2001,Racing,Electronic Arts,False,True,0.04879016416943204
GBA,2001,Role-Playing,Nintendo,True,True,0.5653138090500605
PS2,2001,Fighting,Sammy Corporation,True,True,-2.120263536200091
XB,2001,Sports,Electronic Arts,True,True,-0.916290731874155
PS2,2001,Sports,Ubisoft,False,True,-3.506557897319982
PS2,2001,Racing,Titus,False,True,-2.995732273553991
PS2,2001,Adventure,3DO,False,False,-1.7719568419318752
PS2,2001,Racing,Midway Games,True,True,0.5128236264286637
PS2,2001,Racing,Electronic Arts,False,True,1.2837077723447896
PS2,2001,Sports,Electronic Arts,True,True,0.1823215567939546
PS2,2001,Action,Konami Digital Entertainment,True,True,1.80005827204275
XB,2001,Sports,Electronic Arts,True,True,-0.843970070294529
PS2,2001,Sports,Electronic Arts,True,False,-0.4620354595965587
XB,2001,Action,Konami Digital Entertainment,True,True,-1.2729656758128873
PS2,2001,Sports,THQ,False,False,-1.2729656758128873
PS2,2001,Sports,Sony Computer Entertainment,True,True,-1.9661128563728327
PS2,2001,Action,THQ,True,True,0.6259384308664954
PS2,2001,Adventure,Konami Digital Entertainment,True,True,-1.5606477482646683
GBA,2001,Platform,Interplay,True,False,-1.2378743560016174
PS2,2001,Simulation,Sony Computer Entertainment Europe,True,True,1.1537315878891892
GC,2001,Simulation,Nintendo,True,True,1.1474024528375417
PS,2001,Racing,Activision,True,True,-1.8971199848858813
PS2,2001,Sports,Electronic Arts,False,True,0.62057648772511
PS,2001,Action,Eidos Interactive,True,True,-1.7147984280919266
PS2,2001,Role-Playing,Ubisoft,True,True,-2.3025850929940455
PS2,2001,Simulation,Titus,False,False,-0.08338160893905101
PS2,2001,Fighting,Virgin Interactive,True,True,-1.0498221244986778
XB,2001,Misc,Microsoft Game Studios,False,False,0.1906203596086497
PS2,2001,Sports,Electronic Arts,True,True,1.1249295969854831
XB,2001,Shooter,Take-Two Interactive,True,True,0.19885085874516517
GC,2001,Strategy,Nintendo,True,True,0.4885800148186709
GC,2001,Simulation,LucasArts,True,True,0.6418538861723947
GBA,2001,Role-Playing,Ubisoft,True,True,-1.6607312068216509
XB,2001,Shooter,Konami Digital Entertainment,False,True,-1.7147984280919266
PS2,2001,Racing,Acclaim Entertainment,False,False,-1.8971199848858813
GBA,2001,Role-Playing,Konami Digital Entertainment,True,True,-2.8134107167600364
